Title,Date
"Disenchantment: Part 1: A Princess, an Elf, and a Demon Walk Into a Bar","03/05/2019"
"Sex Education: Season 1: Episode 8","03/05/2019"
"Sex Education: Season 1: Episode 6","03/05/2019"
"Sex Education: Season 1: Episode 7","02/05/2019"
"Sex Education: Season 1: Episode 5","02/05/2019"
"Sex Education: Season 1: Episode 4","02/05/2019"
"Sex Education: Season 1: Episode 3","02/05/2019"
"Sex Education: Season 1: Episode 2","01/05/2019"
"Sex Education: Season 1: Episode 1","01/05/2019"
"Castlevania: Season 1: Witchbottle","28/04/2019"
"The Seven Deadly Sins the Movie: Prisoners of the Sky","28/04/2019"
"Big Mouth: Season 1: I Survived Jessi's Bat Mitzvah","28/04/2019"
"Big Mouth: Season 1: The Head Push","28/04/2019"
"Big Mouth: Season 1: Requiem for a Wet Dream","28/04/2019"
"Big Mouth: Season 1: Ejaculation","28/04/2019"
